X,Y,Cu_ppm
1691923,7223853,7.4
1689137,7224017,7.3
1685947,7223890,7.7
1681731,7224675,9
1683989,7224071,11.2
1679570,7224036,10.7
1680609,7221522,30.7
1683137,7220938,9.1
1685543,7221248,8.5
1687665,7219181,9.5
1692265,7216225,13
1676596,7223131,19.5
1677580,7220881,18.6
1679884,7217621,22.6
1675158,7220936,8.9
1678448,7218826,14.8
1675926,7219255,14.9
1676846,7216545,15.2
1682275,7215714,18.6
1679890,7214949,18.9
1675238,7214005,9.4
1677766,7213681,17.3
1683188,7213878,17.4
1685575,7213414,21.1
1687647,7213364,17.5
1718851,7251504,13.9
1715708,7251237,8.8
1724257,7251681,13.8
1721567,7251534,9.2
1704652,7251890,7.7
